data_hora,run_id,origem,passo,modelo,tokens_entrada,tokens_saida,custo_usd,segundos,status
2026-09-20 01:41:24,20260920-014112-1068,relatorio,1,openai/gemini-3-flash-preview,10080,813,0.007479,8.31,ok
2026-09-20 01:41:36,20260920-014125-726e,agente,1,openai/gemini-3-flash-preview,9948,286,0.005832,9.01,ok
2026-09-20 01:41:41,20260920-014125-726e,agente,2,openai/gemini-3-flash-preview,10245,420,0.006383,4.86,ok
2026-09-20 01:41:45,20260920-014125-726e,agente,3,openai/gemini-3-flash-preview,10676,289,0.006205,3.93,ok
2026-09-20 01:41:49,20260920-014125-726e,agente,4,openai/gemini-3-flash-preview,10976,250,0.006238,3.75,ok
2026-09-20 01:41:51,20260920-014125-726e,agente,5,openai/gemini-3-flash-preview,11237,84,0.00587,2.4,ok
2026-09-20 01:41:54,20260920-014125-726e,agente,6,openai/gemini-3-flash-preview,11332,174,0.006188,2.83,ok
2026-09-20 01:42:00,20260920-014154-0657,relatorio,1,openai/gemini-3-flash-preview,10080,735,0.007245,6.06,ok
2026-09-20 01:49:53,20260920-014940-1798,relatorio,1,openai/gemini-3-flash-preview,10080,1328,0.009024,10.32,ok
2026-09-20 01:50:02,20260920-014954-cf3f,agente,1,openai/gemini-3-flash-preview,9948,487,0.006435,5.61,ok
2026-09-20 01:50:06,20260920-014954-cf3f,agente,2,openai/gemini-3-flash-preview,10446,333,0.006222,4.28,ok
2026-09-20 01:50:09,20260920-014954-cf3f,agente,3,openai/gemini-3-flash-preview,10790,117,0.005746,3.01,ok
2026-09-20 01:50:12,20260920-014954-cf3f,agente,4,openai/gemini-3-flash-preview,10918,180,0.005999,3.01,ok
2026-09-20 01:50:22,20260920-014954-cf3f,agente,5,openai/gemini-3-flash-preview,11109,1060,0.008734,9.73,ok
2026-09-20 01:50:34,20260920-014954-cf3f,agente,6,openai/gemini-3-flash-preview,12180,1065,0.009285,12.29,ok
